slno,BRAND_NAME
B184,CHORDIA FOOD PRODUCTS LTD.
B185,BISLERI
B186,DURGA DAIRY LTD.
B187,PARLE AGRO PVT LTD
B188,DHARAMPAL SATYAPAL
B189,RED BULL INDIA LIMITED
B190,LT FOODS LTD
B191,J.L.MORISON (INDIA) LTD.
B192,PIOMA INDUSTRIES
B193,LOTTE
B194,FUN FOODS
B195,GODREJ AGROVET LTD.
B196,JINDAL RETAIL INDIA PVT.LTD
B197,MEDIMIX
B198,KIWI TTK
B199,SABEENA
B200,ARGUS COSMETICS
B201,TATA CHEMICAL LIMITED
B202,BRIGHT TRADING COMPANY
B203,DCM SREERAM DAURALA SUGAR WORK
B204,CEEAAR DAIRY PRODUCTS PVT LTD
B205,TROPICANA BEVERAGES COMPANY
B206,BUNGE INDIA LTD.
B207,BACARDI MARTINI
B208,THREE-N-PRODUCTS(P) LTD.
B209,NUTRALITE NUTRA-ANALOGUE FOODS
B210,RASAMATI
B211,SREE BHARATH FOOD PRODUCTS
B212,TIRTHRAJS CONSOLIDTED COMPANY
B213,SUMA COFFEE WORKS
B214,BAJAJ HAIR OIL
B215,MMD DAIRY
B216,MODERN FOOD INDUSTRIES (I) LTD
B217,LALJEE GODHOO & CO.
B218,BALAJI STATIONERS
B219,ABBOT
B220,M&R LABORATORIA LIMITED
B221,PARRYS CONFECTIONARY
B222,NUTRINE
B223,MANNA FOOD SERVICES
B224,HINDUSTAN PENCILS LTD.
B225,BOHRA MARKETING
B226,EQUAL
B227,OM SHAKTI MARKETING
B228,HAW PAR ELDER(INDIA) PVT.LTD.
B229,CHAMPION FOODS
B230,V.BHATIA INTERNATIONAL
B231,NATH PETERS LTD
B232,GODREJ AGROVET
B233,RUCHI AGRO PRODUCTS
B234,VIDYUT METALLICS LTD.
B235,V.V.V & SONS  (IDHAYAM)
B236,CARGILL LIMITED
B237,SWASTIK SURFECTANTS
B238,MARKTECH
B239,RELISH SNACKS PVT.LTD.
B240,OTC OTHERS
B241,JESUPREM DISTRUBUTORS
B242,LG CONSUMER HEALTH CARE
B243,BENGAL CHEMICALS & PHARM.LTD.
B244,JABSONS FOODS
B245,CRYSTAL MATKETING SERVICES
B246,KORES
B247,AMBIKA APPALAM
B248,GEETHAKANNA SPICES PVT.LTD.
B249,MOHUNS FOODS
B250,CREATIVE FOODS
B251,HAMDARD ( WAKF ) LABORATORIES
B252,PHILLIPS
B253,BCF OTHERS
B254,NANDA FOODS
B255,ELITE BAKERS PVT LTD
B256,THREE RINGS EXPORTS & IMPORTS
B257,IMPORTED RTE AND DESERTS
B258,IMPORTED FROZEN
B259,IMPORTED DAIRY
B260,RUCHI SOYA INDUSTRIES LIMITED
B261,KBB NUTS PVT LTD
B262,DR COPPER
B263,AACHI MASALAS
B264,KEYA FOODS INTERNATIONAL PVT LTD
B265,RAMPURA ORNAGICS INDIA PRIVATE LIMITED
B266,BREA FOODS PVT LTD
B267,DNV FOOD PRODUCTS PVT LTD
B268,YAKULT DANONE INDIA PVT LTD
B269,RADO TRADING CORPORATION
B270,FERRERO INDIA PVT.LTD.
B271,MARUDHAR MEWA
B272,NICE MARKEING
