slno,SUB_CAT_NAME
SP226,CONES & BARS
SP227,INDIAN SWEETS
SP228,INFANT FORMULA
SP229,OLIVE OILS
SP230,FRESH MILK
SP231,BAR SOAP
SP232,DENTAL RINSE
SP233,HAIR CONDITIONERS
SP234,CASHEWS
SP235,GROUNDNUT
SP236,MASOOR WHOLE/ DALS
SP237,MAIDA
SP238,MUSTARD OIL
SP239,VANASPATI
SP240,POTATO CHIPS
SP241,BARLEY/SAGO
SP242,TABLETS
SP243,FRESH CREAMS
SP244,PLASTIC STRAINERS
SP245,ALMONDS
SP246,GINGELLY OIL
SP247,LIQUID DETERGENT
SP248,OFFICE NEEDS
SP249,ELECTRICAL NEEDS
SP250,PERFUMES
SP251,OATS
SP252,SUGAR FREE
SP253,PANTY LINERS
SP254,POPCORN
SP255,PACKED EGGS
SP256,CHILLED:MEAT
SP257,FACE PACKS
SP258,ORAL CARE ACCES
SP259,INDIAN DELICACIES
SP260,OTHER CEREALS
SP261,PALM OIL
SP262,SOCKS
SP263,PREMIUM CHOCOLATES
SP264,HAND KERCHIEF
SP265,MUGS
SP266,TOYS & SPORTS GOODS
SP267,BOILED RICE
SP268,GLASS WARE
SP269,IMPORTED
SP270,SHAVING ACCESSORIES
SP271,APRICOTS
SP272,RAISINS
SP273,FIGS
SP274,OTHER DALS
SP275,FLAVOURED MILK
SP276,SUNDAES
SP277,LEAVES & SALADS
SP278,COLE VEG
SP279,GOURDS
SP280,BEANS
SP281,APPLES
SP282,CITRUS
SP283,GRAPES
SP284,BERRIES
SP285,PEARS
SP286,HAIR CARE ACCES
SP287,CANNED MEAT
SP288,BATTER
SP289,CANNED FRUIT
SP290,CHRISTMAS
SP291,BODY WASH
SP292,ORGANIC CEREALS
SP293,ORGANIC PULSES
SP294,ORGANIC MASALAS/SPICES
SP295,ORGANIC EDIBLE OIL
SP296,ORGANIC SPREDS AND JAMS
SP297,ORGANIC FLOURS
SP298,ORGANIC OTC
SP299,ORGANIC ORAL CARE
SP300,ORGANIC HEALTH DRINK
SP301,ORGANIC RICE
SP302,ORGANIC DRYFRUITS
SP303,ORGANIC SWEETNERS
SP304,PADS/NOTE BOOKS
SP305,PLASTIC BOTTLES
SP306,SCENTED CANDLES
SP307,SEASONAL
SP308,TOASTERS
SP309,CROCKERY
SP310,THERMOWARE
SP311,HANGERS
SP312,COFFEE MUGS
SP313,FRESH YOGHURTS
SP314,CHUTNEYS
SP315,SPROUTS
SP316,ONION
SP317,FRESH CONDIMENT
SP318,BRANDED VEG
SP319,TINNED SOUPS
SP320,ESSENCES
SP321,CANNED FISH
SP322,BANANAS
SP323,LIQUEURS
SP324,BANDAGES
SP325,SKIN CARE ACCES
SP326,NAIL POLISHES
SP327,LIPSTICKS
SP328,OTHER COSMETICS
SP329,SPECIALITY CONFECTIO
SP330,HEALTH SNACKS
SP331,MOUTH FRESHNERS
SP332,ENERGY DRINK
SP333,ORGANIC HONEY
SP334,OTHER FROZEN DESSERT
SP335,PET ACCESSORIES
SP336,ALUMINIUM PRODUCTS
SP337,MUSHROOMS
SP338,MANGOES
SP339,PLANTS AND FLOWERS
SP340,ORGANIC DRINK
SP341,CANDLES
SP342,PORT WINE
SP343,UMBRELLAS
SP344,BOYS
SP345,PRESSURE COOKER
SP346,DUSTERS
SP347,IMPORTED DETERGENTS
SP348,VEG-FRUITS
SP349,SOYA MILK
SP350,ORGANIC TEA
SP351,TOMATO
SP352,DRY FISH
SP353,ROOT VEG
SP354,TEMPERATE FRUITS
SP355,PROCESSED EGGS
SP356,IRONS & IRONING BOAR
SP357,BRANDED DALS
SP358,FOOTMATS
SP359,DRY FRUITS
SP360,BRINJALS
SP361,POTATO
SP362,OTHER VEG
SP363,CUT FRUITS
SP364,OTHER FRUITS
SP365,IMPORTED HOUSEHOLD CLEANING
SP366,ORGANIC CONFECTIONERY
SP367,CARRY BAG
SP368,ORGANIC BISCUITS/ COOKIES/ CRK
SP369,ORGANIC JUICES
SP370,ORGANIC BREAKFAST CEREALS
SP371,ORGANIC COFFEE
SP372,IMPORTED HOUSEHOLD NEEDS
SP373,VEG WAFERS
SP374,READY TO DRINK
SP375,SOYABEAN OILS
SP376,INSTANT SOUP
SP377,MEAT COUNTER
SP378,OTHER BREAKFAST CERE
SP379,BEEF
SP380,FITTINGS
SP381,FRESH CAKES & PASTRI
SP382,RECHARGEABLE
SP383,FORKS
SP384,PET TOILETRIES
